date,Close,High,Low,Open,Volume
2000-01-03,91.36749267578125,93.13437586031506,90.3858909065958,93.13437586031506,8164300
2000-01-04,87.79451751708984,90.50374010594459,87.72580534998121,90.16999529427407,8089800
2000-01-05,87.95156860351562,88.91353888511658,86.22394850594657,87.91230451038906,12177900
2000-01-06,86.53804779052734,88.89389301168507,86.53804779052734,87.7159704011062,6227200
2000-01-07,91.56385803222656,91.56385803222656,87.99082583628633,88.14788219654744,8066500
2000-01-10,91.87798309326172,92.29025609432124,91.11233323415121,91.87798309326172,5741700
2000-01-11,90.77854919433594,91.77978319280288,90.15032394039591,91.60309484013224,7503700
2000-01-12,89.8754653930664,90.83743520614205,89.75767317105715,90.83743520614205,6907700
2000-01-13,91.09268188476562,91.56385092899717,90.01291949173499,90.75893714510161,5158300
2000-01-14,92.32948303222656,92.64359566852586,91.70125775962795,92.05463447546467,7437300
2000-01-18,91.60308074951172,92.1135136898219,91.2104400261962,91.30860020702508,6488500
2000-01-19,92.3491439819336,92.3491439819336,91.09269304340388,91.28901350254915,6157900
2000-01-20,90.93562316894531,92.32949822183717,90.346661878991,92.32949822183717,5800100
2000-01-21,90.73934173583984,91.4068314846539,90.50375711861136,91.4068314846539,6244800
2000-01-24,88.1674575805664,91.62269528579458,87.57849660808434,91.50490309129816,7896900
2000-01-25,89.1687240600586,89.1687240600586,87.32331233358447,88.27546625628655,9942500
2000-01-26,88.46195983886719,88.92331271419195,88.01042298216636,88.57975206235436,5158100
2000-01-27,88.10858154296875,89.3453998667671,86.77360303474194,89.10981542413884,10922700
2000-01-28,85.36012268066406,87.990816433932,85.14417020838087,87.59817557523529,11916200
2000-01-31,87.67665100097656,87.7453631099115,84.81037445683357,85.32080726606452,10768700
2000-02-01,88.54051971435547,89.01168877713695,87.02885230459817,87.7945020316181,8419900
2000-02-02,88.61905670166016,89.36507445856381,88.18715168450541,88.7564810253003,6205900
2000-02-03,89.95398712158203,89.99325119278306,87.95151949032899,88.50121648714355,7997500
2000-02-04,89.58100128173828,90.46444310897436,89.28652067265959,89.95401005323797,4925400
2000-02-07,89.4435806274414,89.6987971656672,88.85461938538187,89.56137287585331,5845800
2000-02-08,90.6607894897461,90.81784585958542,90.22888447268797,90.44483698121704,4936400
2000-02-09,88.7564697265625,90.75893818754665,88.74665370469492,90.75893818754665,8511500
2000-02-10,88.93318176269531,89.5614073292309,88.5012766857021,88.97244586060378,6690600
